Project_Key,Name,n_issues,n_resolved,min_created,max_created,min_resolved,max_resolved
MDL,Moodle,66741,52249.0,2002-04-25 12:58:42,2020-10-22 11:15:06,2006-08-21 18:43:09,2020-10-22 08:29:55
SERVER,MongoDB Core Server,48663,43834.0,2009-04-08 08:01:26,2020-10-21 20:44:31,2009-04-09 09:00:37,2020-10-21 21:45:24
JRASERVER,Atlassian Jira Server,44165,35215.0,2002-02-08 04:45:00,2020-10-23 20:38:11,2004-02-13 08:17:47,2020-10-20 21:06:49
CONFSERVER,Atlassian Confluence Server,42324,36268.0,2003-09-19 08:15:03,2020-10-23 03:08:29,2004-02-12 23:48:28,2020-10-19 09:43:58
DM,Lsstcorp Data management,26506,22570.0,2014-03-04 09:37:43,2020-10-22 16:40:10,2014-03-08 00:40:28,2020-10-22 18:06:54
JRACLOUD,Atlassian Jira Cloud,25669,5798.0,2002-03-21 01:22:51,2020-10-22 23:35:18,2012-03-18 21:14:23,2020-10-23 04:53:21
CONFCLOUD,Atlassian Confluence Cloud,23409,5247.0,2003-11-19 20:40:09,2020-10-22 21:47:59,2012-05-14 06:58:57,2020-10-22 21:19:14
TIMOB,The Titanium SDK ,22059,19574.0,2011-03-29 16:48:47,2020-10-23 10:17:14,2011-04-15 02:22:17,2020-10-22 22:24:47
BAM,Atlassian Bamboo ,14252,12219.0,2006-04-07 00:43:22,2020-10-23 22:13:07,2006-04-07 00:48:35,2020-10-20 15:02:05
FAB,Hyperledger Fabric,13682,12842.0,2016-07-28 06:40:02,2020-10-20 08:33:34,2016-08-06 15:04:31,2020-10-20 06:50:25
JSWSERVER,Atlassian Atlassian Software Server,12862,10824.0,2007-06-14 07:25:23,2020-10-23 08:03:06,2007-09-26 21:51:54,2020-10-07 13:58:15
MULE,Mule,11816,11292.0,2004-03-23 02:49:11,2020-06-09 21:41:05,2004-03-23 05:23:24,2020-09-25 16:02:07
JSWCLOUD,Atlassian Software Cloud,11702,7551.0,2007-06-14 07:25:23,2020-10-23 00:46:38,2007-11-20 20:37:06,2020-10-22 06:54:22
EVG,The MongoDB Engineering,10299,9284.0,2013-04-10 16:09:14,2020-10-21 22:09:03,2015-06-05 20:41:40,2020-10-21 21:47:01
MESOS,Apache Mesos,10157,7091.0,2011-02-16 23:12:40,2020-10-19 16:53:27,2011-06-21 23:49:22,2020-10-13 03:33:25
DNN,DotNetNuke Platform,10060,7565.0,2012-01-03 00:39:00,2018-06-12 20:53:19,2013-07-19 21:01:16,2018-03-30 21:59:03
NEXUS,Sonatype Nexus,9912,9033.0,2008-04-03 15:47:48,2020-10-20 16:23:45,2008-04-08 00:39:22,2020-10-20 19:08:46
APSTUD,Aptana Studio,8135,6133.0,2003-12-12 19:00:00,2018-02-25 09:43:59,2011-06-08 02:55:59,2020-09-04 12:47:54
TISTUD,Appcelerator Studio,5979,5152.0,2011-03-01 11:50:44,2020-10-21 15:05:09,2011-03-01 11:56:57,2020-05-15 21:33:49
FE,Atlassian FishEye,5533,4615.0,2006-01-11 07:21:26,2020-10-22 18:12:59,2007-08-30 05:27:34,2020-10-07 21:47:10
CWD,Atlassian Crowd,4311,3325.0,2006-09-25 20:37:05,2020-10-20 17:49:54,2006-09-26 18:40:23,2020-10-20 18:00:37
XD,Spring XD,3707,3046.0,2013-04-12 06:37:17,2018-11-16 15:57:31,2013-04-24 21:16:58,2017-03-21 16:55:23
JAVA,The Mongo Java driver,3560,3446.0,2009-04-17 21:00:51,2020-10-15 12:31:38,2009-04-21 14:41:36,2020-10-21 17:17:47
TIDOC,Titanium Mobile Platform,3059,2774.0,2011-04-15 03:34:53,2020-09-29 12:46:30,2011-05-04 23:48:18,2020-10-01 10:26:53
INDY,Hyperledger Indy Node,2321,1964.0,2017-04-19 01:41:08,2020-04-16 19:02:42,2019-03-29 20:32:15,2020-03-30 15:22:52
CXX,The Mongo C++ driver,2032,1770.0,2010-02-01 10:00:17,2020-10-21 15:17:05,2012-07-02 05:44:10,2020-10-15 20:07:07
COMPASS,MongoDB Compass ,1791,1450.0,2016-03-21 14:59:36,2020-10-21 15:33:07,2018-04-04 19:01:51,2020-10-21 15:09:48
STL,Hyperledger Sawtooth,1663,1157.0,2016-07-18 18:01:57,2020-09-23 07:22:54,2016-08-17 15:56:47,2020-02-29 07:17:27
IS,Hyperledger Indy SDK,1531,1293.0,2017-05-24 23:18:54,2020-10-05 05:38:37,2017-06-19 05:41:45,2020-10-13 07:34:13
ALOY,Alloy Framework,1519,1306.0,2012-05-06 20:25:25,2020-10-12 15:58:01,2012-07-19 12:52:00,2020-10-08 10:08:58
CLOV,Atlassian Clover,1501,1501.0,2007-08-02 00:41:41,2017-01-19 13:54:17,2007-08-17 01:09:05,2019-08-13 07:54:11
MXNET,Apache MXNet,1404,311.0,2017-11-02 15:55:21,2020-07-14 11:44:41,2018-02-05 17:05:55,2020-07-24 13:18:42
USERGRID,Apache Usergrid,1339,811.0,2013-11-18 14:42:00,2019-05-26 22:36:32,2013-11-26 16:37:41,2019-05-31 07:13:26
DURACLOUD,Lyrasis Dura Cloud,1125,913.0,2009-11-11 16:05:21,2020-09-15 16:57:07,2010-01-04 16:57:15,2020-10-20 16:17:41
APIKIT,Mule APIkit,886,849.0,2013-05-03 18:25:11,2020-01-16 14:49:40,2013-07-15 20:27:39,2020-09-23 21:54:20
BE,Hyperledger Blockchain Explorer,802,739.0,2016-10-02 12:40:59,2020-10-18 04:07:01,2016-12-13 12:46:12,2020-10-18 13:36:41
DATACASS,Spring DataCass,798,763.0,2013-05-29 12:06:51,2020-10-17 17:48:00,2013-05-30 07:52:23,2020-10-14 14:08:33
CLI,Command-Line Interface,645,575.0,2014-07-21 20:09:25,2020-10-20 16:10:59,2015-04-08 06:12:14,2020-09-14 17:52:08
DAEMON,Appcelerator Daemon,313,283.0,2016-02-03 23:32:09,2020-04-22 17:46:25,2016-02-25 23:57:38,2020-06-10 22:28:05
