Project,CT_Definition,CT_Column,N_total,N_missing,N_nonpositive,N_usable,Coverage_pct
JRACLOUD,CT1,CT1_Resolution_Time_Minutes,5433,0,3789,1644,30.26
JRACLOUD,CT2,CT2_In_Progress_Minutes,5433,0,5215,218,4.01
JRACLOUD,CT3,CT3_Resolution_minus_Created_Minutes,5433,3787,2,1644,30.26
JRACLOUD,CT4,CT4_Resolution_minus_FirstInProgress_Minutes,5433,5158,32,243,4.47
JRACLOUD,CT5,CT5_FinalDone_minus_FirstInProgress_Minutes,5433,5146,22,265,4.88
JRACLOUD,CT6,CT6_FirstDone_minus_FirstInProgress_Minutes,5433,5146,149,138,2.54
MDL,CT1,CT1_Resolution_Time_Minutes,8521,0,3625,4896,57.46
MDL,CT2,CT2_In_Progress_Minutes,8521,0,8521,0,0.0
MDL,CT3,CT3_Resolution_minus_Created_Minutes,8521,3620,5,4896,57.46
MDL,CT4,CT4_Resolution_minus_FirstInProgress_Minutes,8521,5032,26,3463,40.64
MDL,CT5,CT5_FinalDone_minus_FirstInProgress_Minutes,8521,5030,28,3463,40.64
MDL,CT6,CT6_FirstDone_minus_FirstInProgress_Minutes,8521,5030,44,3447,40.45
SERVER,CT1,CT1_Resolution_Time_Minutes,18806,0,2843,15963,84.88
SERVER,CT2,CT2_In_Progress_Minutes,18806,0,10161,8645,45.97
SERVER,CT3,CT3_Resolution_minus_Created_Minutes,18806,2832,11,15963,84.88
SERVER,CT4,CT4_Resolution_minus_FirstInProgress_Minutes,18806,9591,69,9146,48.63
SERVER,CT5,CT5_FinalDone_minus_FirstInProgress_Minutes,18806,9558,79,9169,48.76
SERVER,CT6,CT6_FirstDone_minus_FirstInProgress_Minutes,18806,9558,147,9101,48.39
