Project,CT_Definition,CT_Column,N_total,N_usable,Coverage_pct,Median_minutes,Q1_minutes,Q3_minutes,IQR_minutes,P10_minutes,P90_minutes,Min_minutes,Max_minutes,Mean_minutes,Std_minutes,Median_days,Q1_days,Q3_days,IQR_days,P10_days,P90_days,Min_days,Max_days,Mean_days
JRACLOUD,CT1,CT1_Resolution_Time_Minutes,5433,5433,100.0,0.0,0.0,6568.0,6568.0,0.0,311429.2000000003,0.0,1442755.0,81843.2904472667,220976.01915019794,0.0,0.0,4.561111111111111,4.561111111111111,0.0,216.27027777777798,0.0,1001.9131944444445,56.83561836615743
JRACLOUD,CT2,CT2_In_Progress_Minutes,5433,5433,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698660.0,1808.989692619179,20110.711662871465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.18055555555554,1.256242842096652
JRACLOUD,CT3,CT3_Resolution_minus_Created_Minutes,5433,1646,30.3,85671.5,14671.0,509681.5,495010.5,1714.5,826038.0,0.0,1442756.0,270142.53645200486,332183.18215442746,59.49409722222222,10.188194444444445,353.9454861111111,343.7572916666667,1.190625,573.6375,0.0,1001.9138888888889,187.5989836472256
JRACLOUD,CT4,CT4_Resolution_minus_FirstInProgress_Minutes,5433,275,5.06,10082.0,696.5,40204.5,39508.0,0.0,157919.7999999998,-66.0,718681.0,50808.12727272727,107723.2368036806,7.001388888888889,0.48368055555555556,27.919791666666665,27.43611111111111,0.0,109.66652777777765,-0.04583333333333333,499.0840277777778,35.28342171717172
JRACLOUD,CT5,CT5_FinalDone_minus_FirstInProgress_Minutes,5433,287,5.28,69333.0,4965.0,357559.5,352594.5,2.6000000000000014,625727.8,-1094528.0,837755.0,190335.67595818816,270679.09746681695,48.14791666666667,3.4479166666666665,248.30520833333333,244.85729166666667,0.0018055555555555566,434.53319444444446,-760.0888888888888,581.7743055555555,132.1775527487418
JRACLOUD,CT6,CT6_FirstDone_minus_FirstInProgress_Minutes,5433,287,5.28,0.0,-11687.5,10177.5,21865.0,-202574.59999999998,63172.40000000001,-1094528.0,465507.0,-37262.02787456446,194552.39946605443,0.0,-8.116319444444445,7.067708333333333,15.184027777777779,-140.67680555555555,43.86972222222223,-760.0888888888888,323.26875,-25.87640824622532
MDL,CT1,CT1_Resolution_Time_Minutes,8521,8521,100.0,2041.0,0.0,37964.0,37964.0,0.0,142875.0,0.0,1410121.0,54448.92301373078,143527.51965520924,1.417361111111111,0.0,26.363888888888887,26.363888888888887,0.0,99.21875,0.0,979.2506944444444,37.8117520928686
MDL,CT2,CT2_In_Progress_Minutes,8521,8521,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDL,CT3,CT3_Resolution_minus_Created_Minutes,8521,4901,57.52,27649.0,7575.0,92672.0,85097.0,1125.0,256599.0,0.0,1410181.0,94669.71087533157,178919.59200088607,19.200694444444444,5.260416666666667,64.35555555555555,59.09513888888889,0.78125,178.19375,0.0,979.2923611111111,65.74285477453581
MDL,CT4,CT4_Resolution_minus_FirstInProgress_Minutes,8521,3489,40.95,15840.0,6787.0,39251.0,32464.0,2576.0,85370.00000000007,0.0,1299207.0,40390.80338205789,84194.85015395535,11.0,4.7131944444444445,27.257638888888888,22.544444444444444,1.788888888888889,59.28472222222227,0.0,902.2270833333333,28.049169015317982
MDL,CT5,CT5_FinalDone_minus_FirstInProgress_Minutes,8521,3491,40.97,15827.0,6772.5,39240.0,32467.5,2569.0,85321.0,-454560.0,1299207.0,40222.26410770553,84601.27938693456,10.990972222222222,4.703125,27.25,22.546875,1.7840277777777778,59.25069444444444,-315.6666666666667,902.2270833333333,27.932127852573284
MDL,CT6,CT6_FirstDone_minus_FirstInProgress_Minutes,8521,3491,40.97,15540.0,6527.0,38839.0,32312.0,2367.0,84688.0,-454560.0,1299207.0,39394.922658264106,85198.10043726882,10.791666666666666,4.532638888888889,26.971527777777776,22.43888888888889,1.64375,58.81111111111111,-315.6666666666667,902.2270833333333,27.357585179350075
SERVER,CT1,CT1_Resolution_Time_Minutes,18806,18806,100.0,13019.5,1097.0,54514.0,53417.0,0.0,142579.5,0.0,1431378.0,58575.72593853025,132020.7568659211,9.041319444444444,0.7618055555555555,37.856944444444444,37.09513888888889,0.0,99.01354166666667,0.0,994.0125,40.677587457312676
SERVER,CT2,CT2_In_Progress_Minutes,18806,18806,100.0,0.0,0.0,1321.75,1321.75,0.0,9944.5,0.0,511685.0,3720.8362756567053,14283.344654121558,0.0,0.0,0.9178819444444445,0.9178819444444445,0.0,6.9059027777777775,0.0,355.33680555555554,2.5839140803171565
SERVER,CT3,CT3_Resolution_minus_Created_Minutes,18806,15974,84.94,20505.0,4547.5,67445.5,62898.0,654.9000000000005,162969.40000000002,0.0,1431378.0,68960.50469512958,140725.0105551885,14.239583333333334,3.157986111111111,46.837152777777774,43.67916666666667,0.45479166666666704,113.17319444444446,0.0,994.0125,47.88923937161776
SERVER,CT4,CT4_Resolution_minus_FirstInProgress_Minutes,18806,9215,49.0,7745.0,1723.0,20313.5,18590.5,323.0,46847.80000000015,0.0,1119097.0,22074.017254476395,58401.82261170664,5.378472222222222,1.1965277777777779,14.106597222222222,12.910069444444444,0.22430555555555556,32.53319444444455,0.0,777.1506944444444,15.32917864894194
SERVER,CT5,CT5_FinalDone_minus_FirstInProgress_Minutes,18806,9248,49.18,8221.5,1751.75,20562.25,18810.5,323.0,47868.40000000001,-326070.0,1119097.0,22510.38365051903,59645.73812325989,5.709375,1.2164930555555555,14.279340277777777,13.062847222222222,0.22430555555555556,33.24194444444445,-226.4375,777.1506944444444,15.632210868415994
SERVER,CT6,CT6_FirstDone_minus_FirstInProgress_Minutes,18806,9248,49.18,7332.5,1620.5,20010.0,18389.5,276.0,44760.50000000003,-777284.0,1119097.0,20192.840073529413,58106.33632795657,5.092013888888889,1.1253472222222223,13.895833333333334,12.770486111111111,0.19166666666666668,31.083680555555574,-539.7805555555556,777.1506944444444,14.022805606617649
